2026-07-05 12:55:45,232 [INFO] ══════════ DÉMARRAGE DU PIPELINE ══════════
2026-07-05 12:55:45,233 [INFO] Lecture du CSV brut…
2026-07-05 12:55:45,767 [INFO]   101,500 lignes lues
2026-07-05 12:55:46,104 [INFO]   Doublons supprimés : 1,500
2026-07-05 12:55:46,154 [ERROR] {"transaction_id": "TX-2026000073", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,156 [ERROR] {"transaction_id": "TX-2026000080", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,166 [ERROR] {"transaction_id": "TX-2026000107", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,177 [ERROR] {"transaction_id": "TX-2026000131", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,182 [ERROR] {"transaction_id": "TX-2026000145", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,183 [ERROR] {"transaction_id": "TX-2026000150", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,198 [ERROR] {"transaction_id": "TX-2026000203", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,279 [ERROR] {"transaction_id": "TX-2026000451", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,302 [ERROR] {"transaction_id": "TX-2026000508", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,317 [ERROR] {"transaction_id": "TX-2026000541", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,328 [ERROR] {"transaction_id": "TX-2026000573", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,337 [ERROR] {"transaction_id": "TX-2026000604", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,341 [ERROR] {"transaction_id": "TX-2026000614", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,345 [ERROR] {"transaction_id": "TX-2026000618", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,373 [ERROR] {"transaction_id": "TX-2026000701", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,377 [ERROR] {"transaction_id": "TX-2026000705", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,383 [ERROR] {"transaction_id": "TX-2026000721", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,432 [ERROR] {"transaction_id": "TX-2026000871", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,433 [ERROR] {"transaction_id": "TX-2026000872", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,475 [ERROR] {"transaction_id": "TX-2026000988", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,484 [ERROR] {"transaction_id": "TX-2026001013", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,500 [ERROR] {"transaction_id": "TX-2026001057", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,504 [ERROR] {"transaction_id": "TX-2026001073", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,516 [ERROR] {"transaction_id": "TX-2026001108", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,564 [ERROR] {"transaction_id": "TX-2026001246", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,598 [ERROR] {"transaction_id": "TX-2026001337", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,607 [ERROR] {"transaction_id": "TX-2026001375", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,651 [ERROR] {"transaction_id": "TX-2026001497", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,670 [ERROR] {"transaction_id": "TX-2026001560", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,673 [ERROR] {"transaction_id": "TX-2026001570", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,676 [ERROR] {"transaction_id": "TX-2026001578", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,682 [ERROR] {"transaction_id": "TX-2026001593", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,686 [ERROR] {"transaction_id": "TX-2026001603", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,708 [ERROR] {"transaction_id": "TX-2026001671", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,718 [ERROR] {"transaction_id": "TX-2026001703", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,728 [ERROR] {"transaction_id": "TX-2026001734", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,731 [ERROR] {"transaction_id": "TX-2026001742", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,741 [ERROR] {"transaction_id": "TX-2026001775", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,743 [ERROR] {"transaction_id": "TX-2026001777", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,750 [ERROR] {"transaction_id": "TX-2026001803", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,762 [ERROR] {"transaction_id": "TX-2026001840", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,770 [ERROR] {"transaction_id": "TX-2026001869", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,775 [ERROR] {"transaction_id": "TX-2026001881", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,786 [ERROR] {"transaction_id": "TX-2026001922", "reason": "bad_date", "raw_value": "2025-00-99 99:99:99"}
2026-07-05 12:55:46,830 [ERROR] {"transaction_id": "TX-2026002051", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,840 [ERROR] {"transaction_id": "TX-2026002074", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,867 [ERROR] {"transaction_id": "TX-2026002146", "reason": "bad_price", "raw_value": "-99.99"}
2026-07-05 12:55:46,876 [ERROR] {"transaction_id": "TX-2026002169", "reason": "bad_price", "raw_value": "-99.99"}
